citation_id	citation_label	title	authors	year	journal	url	pmid	doi	notes	raw_citation_text
citation_4da9e7a8c3c0	Jaitin et al., Cell 2019, lipid associated macrophages and TREM2 pathway					https://pmc.ncbi.nlm.nih.gov/articles/PMC7068689/				Jaitin et al., Cell 2019, lipid associated macrophages and TREM2 pathway
citation_4e3bbb704719	Ferdek 2017 Cellular and Molecular Life Sciences					https://pmc.ncbi.nlm.nih.gov/articles/PMC5554282/				Ferdek 2017 Cellular and Molecular Life Sciences
citation_4f32cc0cfef9	Dick 2022 Science Immunology					https://www.science.org/doi/10.1126/sciimmunol.abf7777				Dick 2022 Science Immunology
citation_52b71413b1a0	MSigDB Hallmark G2M Checkpoint					https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_G2M_CHECKPOINT.html				MSigDB Hallmark G2M Checkpoint
citation_52bf14c4615f	Wang et al. 2024, human visceral adipose APC subsets					https://www.nature.com/articles/s41467-024-48914-w				Wang et al. 2024, human visceral adipose APC subsets
citation_550da8a0f91a	Human Protein Atlas, single nuclei brain glial cells					https://www.proteinatlas.org/humanproteome/single%2Bcell/single%2Bnuclei%2Bbrain/glial%2Bcells				Human Protein Atlas, single nuclei brain glial cells
citation_55812028f597	Tissue-resident memory T cells review					https://www.cell.com/immunity/fulltext/S1074-7613(14)00433-0				Tissue-resident memory T cells review
citation_599ba2b3ccb6	Krasniewski et al. 2022 eLife, skeletal muscle macrophage subpopulations					https://elifesciences.org/articles/77974				Krasniewski et al. 2022 eLife, skeletal muscle macrophage subpopulations
citation_59d2440db147	Mosquera et al. 2023 Cell Reports, integrative single-cell meta-analysis of human atherosclerosis					https://www.sciencedirect.com/science/article/pii/S221112472301392X				Mosquera et al. 2023 Cell Reports, integrative single-cell meta-analysis of human atherosclerosis
citation_5bf1ef3e85b9	Emont et al. 2022, single-cell atlas of human and mouse WAT					https://pmc.ncbi.nlm.nih.gov/articles/PMC9504827/				Emont et al. 2022, single-cell atlas of human and mouse WAT
citation_5c3fb71945a6	Tadross et al., Nature 2025, HYPOMAP human hypothalamus					https://www.nature.com/articles/s41586-024-08504-8				Tadross et al., Nature 2025, HYPOMAP human hypothalamus
citation_5d0077ae1856	Kuppe et al. 2021 Nature, Decoding myofibroblast origins in human kidney fibrosis					https://pubmed.ncbi.nlm.nih.gov/33176333/				Kuppe et al. 2021 Nature, Decoding myofibroblast origins in human kidney fibrosis
citation_5e64399da3d3	Zhang 2021 Cancers					https://pmc.ncbi.nlm.nih.gov/articles/PMC8184755/				Zhang 2021 Cancers
citation_5f659d9c9608	Azimuth pancreatic reference markers					https://azimuth.hubmapconsortium.org/references/				Azimuth pancreatic reference markers
citation_62685d886343	Wang et al., Nature Communications 2024, human adipose progenitor cell subsets					https://www.nature.com/articles/s41467-024-48914-w				Wang et al., Nature Communications 2024, human adipose progenitor cell subsets
citation_63998731c9d4	Salinno 2021 Stem Cell Reports					https://pubmed.ncbi.nlm.nih.gov/33582383/				Salinno 2021 Stem Cell Reports
citation_6b32ac7c6a4d	R&D Systems osteoblast and osteoclast marker guide					https://www.rndsystems.com/research-area/developmental-biology/skeletal-system-development/osteoblast-and-osteoclast-markers				R&D Systems osteoblast and osteoclast marker guide
citation_6cb003b4d8da	De Micheli et al. 2020 Skeletal Muscle, reference human skeletal muscle scRNA-seq atlas					https://link.springer.com/article/10.1186/s13395-020-00236-3				De Micheli et al. 2020 Skeletal Muscle, reference human skeletal muscle scRNA-seq atlas
citation_6dcceb3506cb	Craig-Schapiro 2025 Nature Communications					https://www.nature.com/articles/s41467-024-55415-3				Craig-Schapiro 2025 Nature Communications
citation_6f93d1cfdee9	Marstrand-Dauce 2023 IJMS					https://pmc.ncbi.nlm.nih.gov/articles/PMC10298625/				Marstrand-Dauce 2023 IJMS
citation_708b29910b94	Massier et al. 2023 Nature Communications, integrated single-cell and spatial WAT map					https://www.nature.com/articles/s41467-023-36983-2				Massier et al. 2023 Nature Communications, integrated single-cell and spatial WAT map
citation_711138a1e7d2	EGA EGAS00001004653 pancreas atlas					https://ega-archive.org/studies/EGAS00001004653				EGA EGAS00001004653 pancreas atlas
citation_72a699cd3be6	Aizarani et al., Nature 2019					https://www.nature.com/articles/s41586-019-1373-2				Aizarani et al., Nature 2019
citation_7386d418b324	Li et al., 2021, Frontiers in Cell and Developmental Biology					https://www.frontiersin.org/journals/cell-and-developmental-biology/articles/10.3389/fcell.2021.629515/full				Li et al., 2021, Frontiers in Cell and Developmental Biology
citation_7756c2c696f2	Backdahl et al., Cell Metabolism 2021, spatial mapping of human adipocyte subpopulations					https://www.cell.com/cell-metabolism/fulltext/S1550-4131(21)00363-6				Backdahl et al., Cell Metabolism 2021, spatial mapping of human adipocyte subpopulations
citation_77762a3bc36a	Zhao et al., Cell Discovery 2020					https://www.nature.com/articles/s41421-020-0157-z				Zhao et al., Cell Discovery 2020
citation_7ef0912d8cc6	Tabula Sapiens 2022 Science					https://www.science.org/doi/10.1126/science.abl4896				Tabula Sapiens 2022 Science
citation_7fdd72b4946d	HuBMAP Azimuth Human Kidney Reference Explorer, human kidney reference annotations and marker lists					https://azimuth.hubmapconsortium.org/references/human_kidney/				HuBMAP Azimuth Human Kidney Reference Explorer, human kidney reference annotations and marker lists
citation_8030ff7a3606	Depuydt et al. 2023 Nat Cardiovasc Res, plaque TCR-seq and effector T-cell states					https://www.nature.com/articles/s44161-022-00208-4				Depuydt et al. 2023 Nat Cardiovasc Res, plaque TCR-seq and effector T-cell states
citation_81315661857c	Maestas 2024 Nature Communications					https://www.nature.com/articles/s41467-024-49724-w				Maestas 2024 Nature Communications
citation_833de41689f0	Moss et al. 2021 intrinsic cardiac ganglion single-cell transcriptomics					https://pmc.ncbi.nlm.nih.gov/articles/PMC8324809/				Moss et al. 2021 intrinsic cardiac ganglion single-cell transcriptomics
citation_83491b611809	Hu et al. 2023 Nucleic Acids Research, CellMarker 2.0					https://academic.oup.com/nar/article/51/D1/D870/6775381				Hu et al. 2023 Nucleic Acids Research, CellMarker 2.0
citation_8431aad0f10b	Jaitin et al. 2019, TREM2+ lipid-associated macrophages					https://pmc.ncbi.nlm.nih.gov/articles/PMC7068689/				Jaitin et al. 2019, TREM2+ lipid-associated macrophages
citation_89e005ff715f	Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health					https://link.springer.com/article/10.1186/s12933-024-02549-9				Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health
citation_90e06fe809cd	Fu et al., 2023, BMC Biology					https://link.springer.com/article/10.1186/s12915-023-01613-2				Fu et al., 2023, BMC Biology
citation_945e20a20e33	Heart Cell Atlas v2, adult human heart and conduction system resource					https://www.heartcellatlas.org/				Heart Cell Atlas v2, adult human heart and conduction system resource
citation_96d15484ba8a	Hu et al. 2023 Nucleic Acids Research, CellMarker 2.0					https://pmc.ncbi.nlm.nih.gov/articles/PMC9825416/				Hu et al. 2023 Nucleic Acids Research, CellMarker 2.0
citation_97aee7ffb60c	PanglaoDB, curated and integrated cell-type marker resource					https://pmc.ncbi.nlm.nih.gov/articles/PMC6450036/				PanglaoDB, curated and integrated cell-type marker resource
citation_9814d4d5d978	Mimpen et al., 2024, PubMed record					https://pubmed.ncbi.nlm.nih.gov/38742770/				Mimpen et al., 2024, PubMed record
citation_9b0e62a4ea38	Petrany et al. 2020 Nature Communications, skeletal myofiber myonuclear heterogeneity					https://www.nature.com/articles/s41467-020-20063-w				Petrany et al. 2020 Nature Communications, skeletal myofiber myonuclear heterogeneity
citation_9bb2a5f076a5	HLA-DRA NCBI Gene					https://www.ncbi.nlm.nih.gov/gene/3122				HLA-DRA NCBI Gene
citation_9c0d480c2158	FOXP3/Treg marker reference					https://www.ncbi.nlm.nih.gov/gene/50943				FOXP3/Treg marker reference
citation_9d42eedf2d29	Barnett et al., 2024, Nature Medicine human vascular cell atlas					https://www.nature.com/articles/s41591-024-03376-x				Barnett et al., 2024, Nature Medicine human vascular cell atlas
citation_a15f2645f79f	Hu et al., Nucleic Acids Research 2023, CellMarker 2.0					https://pubmed.ncbi.nlm.nih.gov/36300619/				Hu et al., Nucleic Acids Research 2023, CellMarker 2.0
citation_a1c6cbb6bced	Bai et al., Scientific Reports 2024, human embryonic tanycytes					https://www.nature.com/articles/s41598-024-66044-7				Bai et al., Scientific Reports 2024, human embryonic tanycytes
citation_aae4d997c423	CellMarker 2.0					https://academic.oup.com/nar/article/51/D1/D870/6775381				CellMarker 2.0
citation_abbec1269ed3	van Gurp 2022 Nature Communications					https://www.nature.com/articles/s41467-022-29588-8				van Gurp 2022 Nature Communications
citation_ac847ca72709	Mareckova et al. 2024, Human Endometrial Cell Atlas					https://www.nature.com/articles/s41588-024-01873-w				Mareckova et al. 2024, Human Endometrial Cell Atlas
citation_ae8cf0f8b1d1	Westcott et al. 2021, mesothelial cells and visceral adipose depots					https://pmc.ncbi.nlm.nih.gov/articles/PMC8317472/				Westcott et al. 2021, mesothelial cells and visceral adipose depots
citation_b091ce59c82e	Lake et al. 2023 Nature, An atlas of healthy and injured cell states and niches in the human kidney					https://www.nature.com/articles/s41586-023-05769-3				Lake et al. 2023 Nature, An atlas of healthy and injured cell states and niches in the human kidney
citation_b0e716a95960	Hildreth et al. 2021, human WAT cell states in health and obesity					https://pmc.ncbi.nlm.nih.gov/articles/PMC8102391/				Hildreth et al. 2021, human WAT cell states in health and obesity
citation_b11a8ce1ddce	Lai et al. 2024 Nature, multimodal human skeletal muscle atlas					https://www.nature.com/articles/s41586-024-07348-6				Lai et al. 2024 Nature, multimodal human skeletal muscle atlas
citation_b12615f96b2d	Schwann cell marker reference					https://www.proteinatlas.org/humanproteome/single+cell/single+cell+type				Schwann cell marker reference
citation_b2d93d42ba21	CellMarker 2.0, Nucleic Acids Research, 2023					https://pubmed.ncbi.nlm.nih.gov/36300619/				CellMarker 2.0, Nucleic Acids Research, 2023
citation_b4c17b20155a	Angueira et al. 2021 Nat Metab, thermogenic perivascular adipose tissue lineage					https://pmc.ncbi.nlm.nih.gov/articles/PMC8136151/				Angueira et al. 2021 Nat Metab, thermogenic perivascular adipose tissue lineage
citation_b4e5e7a1d0ed	Menon et al. 2020 JCI Insight, Single cell transcriptomics identifies renal endothelial cell signatures					https://insight.jci.org/articles/view/133267/figure/7				Menon et al. 2020 JCI Insight, Single cell transcriptomics identifies renal endothelial cell signatures
citation_b621696adf13	Perez-Frances 2021 Nature Communications					https://www.nature.com/articles/s41467-021-24788-0				Perez-Frances 2021 Nature Communications
citation_b8b3647f1e85	Kendal et al., 2020, Scientific Reports					https://www.nature.com/articles/s41598-020-70786-5				Kendal et al., 2020, Scientific Reports
citation_b974070beab4	Payen et al., JHEP Reports 2021					https://www.jhep-reports.eu/article/S2589-5559%2821%2900054-9/fulltext				Payen et al., JHEP Reports 2021
citation_ba4f966ef016	Jiang et al., Journal of Allergy and Clinical Immunology 2020					https://pmc.ncbi.nlm.nih.gov/articles/PMC7756890/				Jiang et al., Journal of Allergy and Clinical Immunology 2020
citation_bec2efc0270c	Grootaert et al. 2021 Cardiovasc Res, vascular smooth muscle cells in atherosclerosis					https://academic.oup.com/cardiovascres/article/117/11/2326/6130794				Grootaert et al. 2021 Cardiovasc Res, vascular smooth muscle cells in atherosclerosis
citation_c08a440f7861	Ramachandran et al., Nature 2019					https://www.nature.com/articles/s41586-019-1631-3				Ramachandran et al., Nature 2019
citation_c173cd9bb3ae	Cell Signaling Technology human immune cell marker guide					https://www.cellsignal.com/pathways/immune-cell-markers-human				Cell Signaling Technology human immune cell marker guide
citation_c1904184e9b6	Nielsen 2017 Histochemistry and Cell Biology					https://pubmed.ncbi.nlm.nih.gov/28540429/				Nielsen 2017 Histochemistry and Cell Biology
citation_c265367bb7dc	DiGruccio 2016 Molecular Metabolism					https://www.sciencedirect.com/science/article/pii/S221287781630031X				DiGruccio 2016 Molecular Metabolism
citation_c3cc8f2d6d7b	Willemsen and de Winther 2020 Cardiovasc Res, macrophage subsets in atherosclerosis					https://pmc.ncbi.nlm.nih.gov/articles/PMC7217201/				Willemsen and de Winther 2020 Cardiovasc Res, macrophage subsets in atherosclerosis
citation_c3e89218c4a8	Hao et al., Nature Genetics 2022					https://pmc.ncbi.nlm.nih.gov/articles/PMC9633381/				Hao et al., Nature Genetics 2022
citation_c8f47cdd02a6	General human vascular marker consensus cross-checked against Massier et al. 2023 and Bondareva et al. 2022					https://www.nature.com/articles/s41467-023-36983-2				General human vascular marker consensus cross-checked against Massier et al. 2023 and Bondareva et al. 2022
citation_cc613e39ad69	Saxena et al. 2021 Nature Communications, Kidney intercalated cells are phagocytic and acidify internalized uropathogenic E. coli					https://www.nature.com/articles/s41467-021-22672-5				Saxena et al. 2021 Nature Communications, Kidney intercalated cells are phagocytic and acidify internalized uropathogenic E. coli
citation_cd783180d5a9	Lymphatic endothelial marker reference					https://www.proteinatlas.org/humanproteome/single+cell/single+cell+type				Lymphatic endothelial marker reference
citation_d117999ad296	Patel et al., EMBO Reports 2024					https://pmc.ncbi.nlm.nih.gov/articles/PMC11358533/				Patel et al., EMBO Reports 2024
citation_d51d2ee9e0ea	Lemaire 2017 Scientific Reports					https://pmc.ncbi.nlm.nih.gov/articles/PMC5549890/				Lemaire 2017 Scientific Reports
citation_d6fbc277fd62	Zhao et al. 2025 Front Immunol, single-cell atlas of endothelial cells in atherosclerosis					https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1569988/full				Zhao et al. 2025 Front Immunol, single-cell atlas of endothelial cells in atherosclerosis
citation_d762cf0d3d25	Fernandez et al. 2019 Nat Med, single-cell immune landscape of human atherosclerotic plaques					https://pmc.ncbi.nlm.nih.gov/articles/PMC7318784/				Fernandez et al. 2019 Nat Med, single-cell immune landscape of human atherosclerotic plaques
citation_d80f824fba19	Kedlian et al. 2024 Nature Aging, human skeletal muscle aging atlas					https://www.nature.com/articles/s43587-024-00613-3				Kedlian et al. 2024 Nature Aging, human skeletal muscle aging atlas
citation_d81006c9753e	Whytock et al., Scientific Reports 2022, single cell full length transcriptome of human subcutaneous WAT					https://pmc.ncbi.nlm.nih.gov/articles/PMC9385549/				Whytock et al., Scientific Reports 2022, single cell full length transcriptome of human subcutaneous WAT
citation_d8cf66e3d54a	Gerber et al., eLife 2021					https://elifesciences.org/articles/58591				Gerber et al., eLife 2021
citation_d9f0eb9e6f4f	Muhleder 2020 Frontiers Bioengineering Biotechnology					https://pmc.ncbi.nlm.nih.gov/articles/PMC7904752/				Muhleder 2020 Frontiers Bioengineering Biotechnology
citation_dae853739c36	Li 2016 EMBO Reports					https://pmc.ncbi.nlm.nih.gov/articles/PMC4784001/				Li 2016 EMBO Reports
citation_db03ee703481	General human immune-cell marker consensus cross-checked against the Massier et al. 2023 WAT immune atlas					https://www.nature.com/articles/s41467-023-36983-2				General human immune-cell marker consensus cross-checked against the Massier et al. 2023 WAT immune atlas
citation_db1c257f71a7	MSigDB Hallmark UPR					https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_UNFOLDED_PROTEIN_RESPONSE.html				MSigDB Hallmark UPR
citation_de1c8dcb5cc4	Lazarescu et al., Nature Genetics 2025, human subcutaneous and visceral adipocyte atlases					https://www.nature.com/articles/s41588-024-02048-3				Lazarescu et al., Nature Genetics 2025, human subcutaneous and visceral adipocyte atlases
citation_e494f1fc3d4c	Emont et al. 2022 Nature, human and mouse white adipose tissue atlas					https://www.nature.com/articles/s41586-022-04518-2				Emont et al. 2022 Nature, human and mouse white adipose tissue atlas
citation_e7547f3975ed	Apte 2011 Pancreapedia					https://pancreapedia.org/tools/methods/isolation-of-quiescent-pancreatic-stellate-cells-from-rat-and-human-pancreas				Apte 2011 Pancreapedia
citation_e85cb38d66ac	PanglaoDB marker database, 2019					https://www.panglaodb.se/markers.html				PanglaoDB marker database, 2019
citation_e884d39e1fd9	Muto et al. 2021 Nature Communications, Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney					https://pmc.ncbi.nlm.nih.gov/articles/PMC8044133/				Muto et al. 2021 Nature Communications, Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney
citation_eb1d901dcbef	Chen et al. 2017 JASN, Transcriptomes of major renal collecting duct cell types					https://europepmc.org/article/pmc/pmc5699061				Chen et al. 2017 JASN, Transcriptomes of major renal collecting duct cell types
citation_ed699f31dcb0	Kanamori-Katayama et al. 2011, LRRN4/UPK3B primary mesothelial markers					https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0025391				Kanamori-Katayama et al. 2011, LRRN4/UPK3B primary mesothelial markers
citation_f18dfa469a2b	Vijay et al. 2020, human adipose depot-specific scRNA-seq					https://pmc.ncbi.nlm.nih.gov/articles/PMC7025882/				Vijay et al. 2020, human adipose depot-specific scRNA-seq
citation_f3be97a5059c	McEvoy et al. 2022 Nature Communications, Single-cell profiling of healthy human kidney reveals kidney-resident immune cells					https://pmc.ncbi.nlm.nih.gov/articles/PMC9741629/				McEvoy et al. 2022 Nature Communications, Single-cell profiling of healthy human kidney reveals kidney-resident immune cells
citation_fa27bfcf6417	Massier et al., Nature Communications 2023, integrated single cell and spatial transcriptomic map of human WAT					https://www.nature.com/articles/s41467-023-36983-2				Massier et al., Nature Communications 2023, integrated single cell and spatial transcriptomic map of human WAT
citation_fa96481393b2	Tosti 2021 Gastroenterology					https://www.sciencedirect.com/science/article/pii/S0016508520353993				Tosti 2021 Gastroenterology
citation_fb8418d577b5	Lazarescu et al. 2025, human SAT/VAT adipocyte snRNA-seq atlas					https://www.nature.com/articles/s41588-024-02048-3				Lazarescu et al. 2025, human SAT/VAT adipocyte snRNA-seq atlas
citation_fc535fab8184	Koenig et al. 2022 Nature Cardiovascular Research, human heart failure single-cell transcriptomics					https://www.nature.com/articles/s44161-022-00028-6				Koenig et al. 2022 Nature Cardiovascular Research, human heart failure single-cell transcriptomics
citation_fda5d383de96	Litvinukova et al. 2020 Nature, Cells of the adult human heart					https://www.nature.com/articles/s41586-020-2797-4				Litvinukova et al. 2020 Nature, Cells of the adult human heart
citation_ff2fab372685	Saigusa et al. 2020 Nat Rev Cardiol, T cell subsets and functions in atherosclerosis					https://pmc.ncbi.nlm.nih.gov/articles/PMC7872210/				Saigusa et al. 2020 Nat Rev Cardiol, T cell subsets and functions in atherosclerosis
