allow_hard_call	biological_category	biological_description	cell_type_id	cell_type_label	curation_notes	curation_version	disease_context	display_name	display_order	do_not_overinterpret_as	gene_set_description	hard_call_notes	interpretation_caveat	interpretation_status	is_composite_required	is_qc	known_limitations	manual_review_status	marker_panel_context	marker_provenance_summary	n_markers	negative_checks	portal_visibility	provenance_warning_count	qc_sensitivity	quality_badges	recommended_portal_label	recommended_portal_summary	release_class	required_supporting_evidence	score_scope	source_gmt	source_workbook	state_class	state_establishment_level	state_establishment_rationale	state_id	state_label	state_level_citation_ids	tissue_id	tissue_label
false		Interferon / MHC response captures inflammatory, antiviral, and antigen-presentation activity within the parent cell type.	endothelial	Endothelial	Generic interferon/MHC response within endothelial cells.	2026-05-26		Interferon response endothelial		a distinct immune cell identity unless parent-cell assignment supports it	Zhao et al. 2025 Front Immunol, single-cell atlas of endothelial cells in atherosclerosis; Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	This can be real inflammatory biology, but immune contamination, HLA-high ambient RNA, and doublets should be checked.	continuous_gradient	false	false		reviewed			10		show_default	2	moderate	Well-established inflammatory process;Check immune contamination	Interferon response endothelial	A well-established inflammatory process score, best interpreted as a continuous gradient.	portal_flagged	high IFN/MHC activity; parent identity retained; low immune contamination/doublet scores	within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	well_established_process		artery_endothelial_interferon_response_endothelial	Interferon response endothelial	citation_0d6683582aa2;citation_d6fbc277fd62	artery	Artery
false		Venous venular endothelial identity represents a curated identity or subtype marker program within Endothelial.	endothelial	Endothelial	Venous/venular endothelial identity; ACKR1/POSTN supported by spatial validation in human vascular atlas.	2026-05-26		Venous venular endothelial identity			Barnett et al. 2024 Nat Med, organotypic atlas of human vascular cells	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Use as an identity or subtype activity gradient within the selected parent cell type, not as a mutually exclusive cell-state probability.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Established identity marker panel;Continuous activity score	Venous venular endothelial identity	Venous venular endothelial identity represents a curated identity or subtype marker program within Endothelial.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_identity_gradient	canonical_identity		artery_endothelial_venous_venular_endothelial_identity	Venous venular endothelial identity	citation_4b8fdbbaad4b	artery	Artery
false		Adipogenic preadipocyte like fibroblast is a curated marker panel for Fibroblast in Artery. The biological interpretation needs review or more specific annotation.	fibroblast	Fibroblast	Adipogenic/preadipocyte-like stromal program in perivascular adipose context.	2026-05-26		Adipogenic preadipocyte like fibroblast			Emont et al. 2022 Nature, single-cell atlas of human and mouse white adipose tissue; Queiroz and Sena 2024 Cardiovasc Diabetol, perivascular adipose tissue and cardiovascular health	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Treat as a curated exploratory marker panel until the state class and establishment level are manually reviewed.	needs_review	false	false		reviewed			10		show_with_caution	1	none	Needs metadata review	Adipogenic preadipocyte like fibroblast	Adipogenic preadipocyte like fibroblast is a curated marker panel for Fibroblast in Artery. The biological interpretation needs review or more specific annotation.	portal_flagged		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	unknown	needs_review		artery_fibroblast_adipogenic_preadipocyte_like_fibroblast	Adipogenic preadipocyte like fibroblast	citation_29436e9310ab;citation_89e005ff715f	artery	Artery
false		Adventitial matrix fibroblast identity captures remodeling, extracellular matrix, or transition-like activity in Fibroblast.	fibroblast	Fibroblast	Adventitial/vascular ECM fibroblast identity program.	2026-05-26		Adventitial matrix fibroblast identity			Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques; Mosquera et al. 2023 Cell Reports, integrative single-cell meta-analysis of human atherosclerosis; Zhao et al. 2025 Front Immunol, single-cell atlas of endothelial cells in atherosclerosis	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	These programs often overlap related stromal or mural lineages. Interpret with parent-cell identity and contamination checks.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Remodeling process;Context dependent	Adventitial matrix fibroblast identity	Adventitial matrix fibroblast identity captures remodeling, extracellular matrix, or transition-like activity in Fibroblast.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	emerging_context_dependent		artery_fibroblast_adventitial_matrix_fibroblast_identity	Adventitial matrix fibroblast identity	citation_0d6683582aa2;citation_59d2440db147;citation_d6fbc277fd62	artery	Artery
false		Fibromyocyte like vascular fibroblast is a curated marker panel for Fibroblast in Artery. The biological interpretation needs review or more specific annotation.	fibroblast	Fibroblast	Vascular fibromyocyte-like program; close transcriptional overlap with SMC-derived fibromyocytes.	2026-05-26		Fibromyocyte like vascular fibroblast			Mosquera et al. 2023 Cell Reports, integrative single-cell meta-analysis of human atherosclerosis; Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Treat as a curated exploratory marker panel until the state class and establishment level are manually reviewed.	needs_review	false	false		reviewed			10		show_with_caution	1	none	Needs metadata review	Fibromyocyte like vascular fibroblast	Fibromyocyte like vascular fibroblast is a curated marker panel for Fibroblast in Artery. The biological interpretation needs review or more specific annotation.	portal_flagged		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	unknown	needs_review		artery_fibroblast_fibromyocyte_like_vascular_fibroblast	Fibromyocyte like vascular fibroblast	citation_0d6683582aa2;citation_59d2440db147	artery	Artery
false		Inflammatory fibroblast represents inflammatory activation in Fibroblast.	fibroblast	Fibroblast	Inflammatory fibroblast/chemokine program in vascular remodeling.	2026-05-26		Inflammatory fibroblast			Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques; Mosquera et al. 2023 Cell Reports, integrative single-cell meta-analysis of human atherosclerosis	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Interpret as a process score; consider disease, dissociation, immune contamination, and batch context.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Inflammatory process;Context dependent	Inflammatory fibroblast	Inflammatory fibroblast represents inflammatory activation in Fibroblast.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	well_established_process		artery_fibroblast_inflammatory_fibroblast	Inflammatory fibroblast	citation_0d6683582aa2;citation_59d2440db147	artery	Artery
false		Matrix remodeling fibroblast captures remodeling, extracellular matrix, or transition-like activity in Fibroblast.	fibroblast	Fibroblast	ECM remodeling fibroblast program.	2026-05-26		Matrix remodeling fibroblast			Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques; Mosquera et al. 2023 Cell Reports, integrative single-cell meta-analysis of human atherosclerosis	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	These programs often overlap related stromal or mural lineages. Interpret with parent-cell identity and contamination checks.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Remodeling process;Context dependent	Matrix remodeling fibroblast	Matrix remodeling fibroblast captures remodeling, extracellular matrix, or transition-like activity in Fibroblast.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	emerging_context_dependent		artery_fibroblast_matrix_remodeling_fibroblast	Matrix remodeling fibroblast	citation_0d6683582aa2;citation_59d2440db147	artery	Artery
false		Myofibroblast contractile fibroblast captures remodeling, extracellular matrix, or transition-like activity in Fibroblast.	fibroblast	Fibroblast	Contractile myofibroblast program; overlaps SMC and fibromyocyte biology.	2026-05-26		Myofibroblast contractile fibroblast			Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques; Grootaert et al. 2021 Cardiovasc Res, vascular smooth muscle cells in atherosclerosis	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	These programs often overlap related stromal or mural lineages. Interpret with parent-cell identity and contamination checks.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Remodeling process;Context dependent	Myofibroblast contractile fibroblast	Myofibroblast contractile fibroblast captures remodeling, extracellular matrix, or transition-like activity in Fibroblast.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	emerging_context_dependent		artery_fibroblast_myofibroblast_contractile_fibroblast	Myofibroblast contractile fibroblast	citation_0d6683582aa2;citation_bec2efc0270c	artery	Artery
false		Interferon / MHC response captures inflammatory, antiviral, and antigen-presentation activity within the parent cell type.	macrophage	Macrophage	Antigen presentation and MHC program in plaque macrophages/myeloid cells.	2026-05-26		Antigen presenting macrophage			Fernandez et al. 2019 Nat Med, single-cell immune landscape of human atherosclerotic plaques; Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	This can be a real inflammatory state, but HLA-high ambient RNA, immune-cell contamination, and doublets should be checked.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Well-established inflammatory process;Check immune contamination	Antigen presenting macrophage	Interferon / MHC response captures inflammatory, antiviral, and antigen-presentation activity within the parent cell type.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	well_established_process		artery_macrophage_antigen_presenting_macrophage	Antigen presenting macrophage	citation_0d6683582aa2;citation_d762cf0d3d25	artery	Artery
false		Foam trem2 lipid associated macrophage captures lipid-handling or phagocytic activity often associated with tissue remodeling or disease.	macrophage	Macrophage	Foamy/lipid-associated macrophage program in atherosclerotic plaque.	2026-05-26		Foam trem2 lipid associated macrophage			Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques; Willemsen and de Winther 2020 Cardiovasc Res, macrophage subsets in atherosclerosis	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Interpret with tissue context and parent-cell identity; related genes can also reflect ambient lipid-rich tissue signal.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Disease-associated macrophage/stress program;Context dependent	Foam trem2 lipid associated macrophage	Foam trem2 lipid associated macrophage captures lipid-handling or phagocytic activity often associated with tissue remodeling or disease.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	disease_associated_established		artery_macrophage_foam_trem2_lipid_associated_macrophage	Foam trem2 lipid associated macrophage	citation_0d6683582aa2;citation_c3cc8f2d6d7b	artery	Artery
false		Oxidative / mitochondrial stress captures antioxidant response, mitochondrial proteostasis, and cellular stress-response activity.	macrophage	Macrophage	Oxidative-stress/HMOX1 macrophage program enriched in advanced plaques.	2026-05-26		Hmox1 oxidative stress macrophage		a definitive mitochondrial disease state or bad-cell label	Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Distinguish biological oxidative stress from high mitochondrial-read QC artifacts. Use as a stress score, not a discrete state.	continuous_gradient	false	false		reviewed			10		show_default	2	high	Stress process;QC sensitive	Hmox1 oxidative stress macrophage	A QC-sensitive cellular stress activity score. Interpret with mitochondrial fraction and cell-quality metrics.	portal_default	high oxidative-stress activity; not explained by percent mitochondrial or low-complexity QC	within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	generic_process_marker_panel		artery_macrophage_hmox1_oxidative_stress_macrophage	Hmox1 oxidative stress macrophage	citation_0d6683582aa2	artery	Artery
false		Inflammatory chemokine macrophage represents inflammatory activation in Macrophage.	macrophage	Macrophage	Pro-inflammatory plaque macrophage/monocyte-like program with chemokines and inflammasome markers.	2026-05-26		Inflammatory chemokine macrophage			Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques; Willemsen and de Winther 2020 Cardiovasc Res, macrophage subsets in atherosclerosis	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Interpret as a process score; consider disease, dissociation, immune contamination, and batch context.	continuous_gradient	false	false		reviewed			10		show_default	1	moderate	Inflammatory process;Context dependent	Inflammatory chemokine macrophage	Inflammatory chemokine macrophage represents inflammatory activation in Macrophage.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	well_established_process		artery_macrophage_inflammatory_chemokine_macrophage	Inflammatory chemokine macrophage	citation_0d6683582aa2;citation_c3cc8f2d6d7b	artery	Artery
false		Interferon / MHC response captures inflammatory, antiviral, and antigen-presentation activity within the parent cell type.	macrophage	Macrophage	Type I interferon response macrophage program.	2026-05-26		Interferon response macrophage		a distinct immune cell identity unless parent-cell assignment supports it	Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	This can be real inflammatory biology, but immune contamination, HLA-high ambient RNA, and doublets should be checked.	continuous_gradient	false	false		reviewed			10		show_default	2	moderate	Well-established inflammatory process;Check immune contamination	Interferon response macrophage	A well-established inflammatory process score, best interpreted as a continuous gradient.	portal_default	high IFN/MHC activity; parent identity retained; low immune contamination/doublet scores	within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	process_gradient	well_established_process		artery_macrophage_interferon_response_macrophage	Interferon response macrophage	citation_0d6683582aa2	artery	Artery
false		Resident like macrophage represents a curated identity or subtype marker program within Macrophage.	macrophage	Macrophage	Resident-like macrophage program reported in atherosclerotic lesions and healthy vascular tissue.	2026-05-26		Resident like macrophage			Willemsen and de Winther 2020 Cardiovasc Res, macrophage subsets in atherosclerosis; Traeuble et al. 2025 Nat Commun, integrated single-cell atlas of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Use as an identity or subtype activity gradient within the selected parent cell type, not as a mutually exclusive cell-state probability.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Established identity marker panel;Continuous activity score	Resident like macrophage	Resident like macrophage represents a curated identity or subtype marker program within Macrophage.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_identity_gradient	canonical_identity		artery_macrophage_resident_like_macrophage	Resident like macrophage	citation_0d6683582aa2;citation_c3cc8f2d6d7b	artery	Artery
false		Activated antigen engaged t cell is a curated marker panel for Mature NK T cell in Artery. The biological interpretation needs review or more specific annotation.	mature_nk_t_cell	Mature NK T cell	Recently activated antigen-engaged plaque T-cell program.	2026-05-26		Activated antigen engaged t cell			Depuydt et al. 2023 Nat Cardiovasc Res, plaque TCR-seq and effector T-cell states	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Treat as a curated exploratory marker panel until the state class and establishment level are manually reviewed.	needs_review	false	false		reviewed			10		show_with_caution	1	none	Needs metadata review	Activated antigen engaged t cell	Activated antigen engaged t cell is a curated marker panel for Mature NK T cell in Artery. The biological interpretation needs review or more specific annotation.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	unknown	needs_review		artery_mature_nk_t_cell_activated_antigen_engaged_t_cell	Activated antigen engaged t cell	citation_8030ff7a3606	artery	Artery
false		Cytotoxic nk t effector is a curated marker panel for Mature NK T cell in Artery. The biological interpretation needs review or more specific annotation.	mature_nk_t_cell	Mature NK T cell	Cytotoxic effector NK/T program.	2026-05-26		Cytotoxic nk t effector			Depuydt et al. 2023 Nat Cardiovasc Res, plaque TCR-seq and effector T-cell states; Fernandez et al. 2019 Nat Med, single-cell immune landscape of human atherosclerotic plaques	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	Treat as a curated exploratory marker panel until the state class and establishment level are manually reviewed.	needs_review	false	false		reviewed			10		show_with_caution	1	none	Needs metadata review	Cytotoxic nk t effector	Cytotoxic nk t effector is a curated marker panel for Mature NK T cell in Artery. The biological interpretation needs review or more specific annotation.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	unknown	needs_review		artery_mature_nk_t_cell_cytotoxic_nk_t_effector	Cytotoxic nk t effector	citation_8030ff7a3606;citation_d762cf0d3d25	artery	Artery
false		Exhausted dysfunctional t cell captures a functional activity program in Mature NK T cell.	mature_nk_t_cell	Mature NK T cell	Exhausted/dysfunctional T-cell program.	2026-05-26		Exhausted dysfunctional t cell			Depuydt et al. 2023 Nat Cardiovasc Res, plaque TCR-seq and effector T-cell states; Saigusa et al. 2020 Nat Rev Cardiol, T cell subsets and functions in atherosclerosis	Use continuous activity scores by default. Hard calls require separate score-distribution validation.	This is usually a functional gradient rather than a discrete state-positive population.	continuous_gradient	false	false		reviewed			10		show_default	1	none	Functional program;Continuous activity score	Exhausted dysfunctional t cell	Exhausted dysfunctional t cell captures a functional activity program in Mature NK T cell.	portal_default		within_tissue_cell_type	dat/artery/artery_cell_state_markers.gmt	dat/artery/artery_cell_state_markers.xlsx	broad_function_gradient	established_functional_state		artery_mature_nk_t_cell_exhausted_dysfunctional_t_cell	Exhausted dysfunctional t cell	citation_8030ff7a3606;citation_ff2fab372685	artery	Artery
